Date,IBM,MSFT,HD,XOM,AAPL
2/9/2009,0.006974427,-0.011055832,-0.018509729,-0.010589194,0.027998791
2/10/2009,-0.036609499,-0.032979318,-0.038201161,-0.04212404,-0.045654943
2/11/2009,0.020198562,0.021965318,-0.003016591,-0.020484171,-0.010265886
2/12/2009,-0.000894855,0.002262443,-0.00706001,0.008628254,0.025308578
2/13/2009,-0.012987013,-0.008465011,-0.035043169,-0.008409453,-0.001112797
2/17/2009,-0.033688748,-0.046101309,-0.06,-0.044304723,-0.046688272
2/18/2009,0.009273389,0.001789976,-0.007278835,0.009179927,-0.001699777
2/19/2009,-0.028262387,-0.011911852,0.018612521,0.003032141,-0.039587102
2/20/2009,-0.001555955,0.005424955,-0.034883721,-0.012847642,0.006204986
2/23/2009,-0.049748262,-0.043764988,-0.038439472,-0.027101516,-0.046580773
2/24/2009,0.023968715,-0.002507837,0.104415274,0.040289581,0.037884038
2/25/2009,-0.005790317,-0.01257071,-0.017287952,-0.000605144,0.010126864
2/26/2009,0.035811648,-0.031826862,0.016492578,-0.015289131,-0.021593037
2/27/2009,0.034334251,-0.016436555,0.011898323,-0.042890085,0.001351199
3/2/2009,-0.032384918,-0.022058824,-0.046499198,-0.044008995,-0.015405375
3/3/2009,-0.014343772,0.005468216,-0.051569507,-0.008568548,0.004910918
3/4/2009,0.019645889,0.015635622,0.006501182,0.020504999,0.031708149
3/5/2009,-0.022478592,-0.052878179,-0.045214328,-0.052640319,-0.02555629
3/6/2009,-0.019102081,0.000706714,-0.008610086,0.029097283,-0.039791996
3/9/2009,-0.027164475,-0.008474576,0.013027295,0.008346108,-0.025782906
3/10/2009,0.04513579,0.087606838,0.078383344,0.04375,0.066465257
3/11/2009,0.015737465,0.037982973,0.01362862,-0.024113934,0.045665722
3/12/2009,0.020057651,-0.005678233,0.033053221,0.02106136,0.039661899
3/13/2009,-0.000470976,-0.020939086,0.018438178,0.000812084,-0.004377736
3/16/2009,0.00954176,-0.023979261,-0.027689031,-0.003570269,-0.005339196
3/17/2009,0.018553092,0.039840637,0.066812705,0.031758958,0.044416377
3/18/2009,-0.010310459,0.003192848,0.051334702,0.001104972,0.018744331
3/19/2009,0.007755527,0.010821133,-0.006347656,-0.01214128,0.000989218
3/20/2009,-0.00172295,-0.00440806,-0.012776413,-0.032721468,-0.000296472
3/23/2009,0.067080888,0.074003795,0.049278248,0.067161716,0.059707394
3/24/2009,-0.004205305,-0.021790342,-0.012808349,-0.016390908,-0.010820896
3/25/2009,-0.003465079,-0.002408188,0.014416146,0.011318975,-9.43E-05
3/26/2009,0.008475497,0.053108027,0.036949313,0.01523395,0.031783458
3/27/2009,-0.046869949,-0.037249284,-0.021014162,-0.01760833,-0.027513711
3/30/2009,0.003843545,-0.035714286,-0.010732618,-0.019170823,-0.022088542
3/31/2009,0.025112613,0.050617284,0.00754717,-0.007786429,0.006055363
4/1/2009,0.007470065,0.051116334,0.01170412,0.01665599,0.034011656
4/2/2009,0.032820848,-0.001117943,0.039333642,0.014650284,0.036958329
4/3/2009,0.013935811,-0.027979855,0.009349955,0.002794597,0.029047492
4/6/2009,-0.006455643,0.000575705,-0.006175562,-0.005573618,0.021213958
4/7/2009,-0.027667156,0,-0.019085664,-0.01914993,-0.029082584
4/8/2009,0.024682044,0.02301496,0.030769231,0.003650794,0.011440049
4/9/2009,0.005048911,0.025309336,0.031167691,0.012810375,0.027974443
4/13/2009,-0.017268446,-0.004388371,0.002128565,-0.026077452,0.005459432
4/14/2009,-0.006709265,-0.012121212,-0.023789295,-0.004810005,-0.015955225
4/15/2009,-0.004288624,-0.026770775,0.01305483,0.006605445,-0.005602716
4/16/2009,0.026165608,0.049283668,0.011597938,-0.010723431,0.032354448
4/17/2009,-0.001678909,-0.028399782,0.005095541,-0.009868953,0.016207723
4/20/2009,-0.008198444,-0.030916245,-0.036332911,-0.021895425,-0.023679714
